id,topic
880810361594810368,https://www.snopes.com/fact-check/did-mad-magazine-publish-a-trump-cartoon-in-1992/
880810175656886276,https://www.snopes.com/fact-check/california-motor-voter-act/
880809233197015040,https://www.snopes.com/fact-check/1994s-most-bizarre-suicide/
880809192738742272,https://www.snopes.com/fact-check/baby-grenfell-tower-fire/
880806674612801537,https://www.snopes.com/fact-check/tick-causes-meat-allergy/
880806550373359616,https://www.snopes.com/fact-check/clinton-compliant-citizenry/
880806406957535232,https://www.snopes.com/fact-check/kfc-dearborn-shariah-law/
880806173422886912,https://www.snopes.com/fact-check/george-washington-gun-quote/
880805727723507712,https://www.snopes.com/fact-check/president-obama-ban-muslims-2011/
880803971144843265,https://www.snopes.com/fact-check/president-obama-ban-muslims-2011/
880800528506257409,https://www.snopes.com/fact-check/hometown-buffett/
880800246716026880,https://www.snopes.com/fact-check/kfc-dearborn-shariah-law/
880799578412523520,https://www.snopes.com/fact-check/wolf-pack-photo/
880799227470897152,https://www.snopes.com/fact-check/kfc-dearborn-shariah-law/
880799074936655872,https://www.snopes.com/fact-check/shelter-pets-surrender-photo/
880798927632707584,https://www.snopes.com/fact-check/hitler-start-wwiii/
880796705473544194,https://www.snopes.com/fact-check/hoa-lawn-flag/
880796435964452864,https://www.snopes.com/fact-check/cnn-and-msnbc-ratings/
880793830592659456,https://www.snopes.com/fact-check/obama-encouraged-illegal-aliens-to-vote/
880792586801348609,https://www.snopes.com/fact-check/crime-rates-democrats-vote/
880792357473591300,https://www.snopes.com/fact-check/trump-fake-time-covers/
880792264687194112,https://www.snopes.com/fact-check/did-mad-magazine-publish-a-trump-cartoon-in-1992/
880790819992739840,https://www.snopes.com/fact-check/aunt-jemima-pancakes-recall/
880789778123370500,https://www.snopes.com/fact-check/charleston-church-shooter-dylann-roof-raped-cell/
880789534384025600,https://www.snopes.com/fact-check/hillary-clinton-800000-votes-non-citizens/
880789280968159232,https://www.snopes.com/fact-check/the-fall-of-the-athenian-republic/
880788988772200450,https://www.snopes.com/fact-check/cnn-and-msnbc-ratings/
